Date,Sales
2018-01-31,102.48357076505616
2018-02-28,106.30867849414408
2018-03-31,115.89869672834784
2018-04-30,123.61514928204012
2018-05-31,115.4894871642277
2018-06-30,113.8293152152541
2018-07-31,119.89606407753696
2018-08-31,112.83717364576455
2018-09-30,104.99237403248085
2018-10-31,110.71280021792982
2018-11-30,109.02265749809331
2018-12-31,114.67135123214871
2019-01-31,125.20981135783018
2019-02-28,121.43359877671101
2019-03-31,128.03566487527922
2019-04-30,137.18856235379513
2019-05-31,135.59609843617227
2019-06-30,140.57123666297636
2019-07-31,131.45987962239394
2019-08-31,125.93848149332354
2019-09-30,138.6679898067634
2019-10-31,130.87111849756732
2019-11-30,135.67738698559523
2019-12-31,133.8762590689327
2020-01-31,145.27808637737408
2020-02-29,155.55461294854933
2020-03-31,154.90528615073288
2020-04-30,165.87849009172837
2020-05-31,161.65706058825037
2020-06-30,161.5415312510336
2020-07-31,156.99146693885305
2020-08-31,166.26139092254468
2020-09-30,155.27225983846597
2020-10-31,150.7114453552205
2020-11-30,163.45247052267155
2020-12-31,158.8957817501449
2021-01-31,173.04431797502377
2021-02-28,169.2016493806011
2021-03-31,178.0193237933522
2021-04-30,188.98430617934562
2021-05-31,192.35258693782146
2021-06-30,187.8568414059499
2021-07-31,183.4217585880588
2021-08-31,179.49448152205355
2021-09-30,171.9471360103185
2021-10-31,176.40077895802645
2021-11-30,181.03655210735667
2021-12-31,194.28561113109458
2022-01-31,197.7180914478423
2022-02-28,194.18479922318633
2022-03-31,210.28067388481838
2022-04-30,210.07458859791842
2022-05-31,209.2756440363146
2022-06-30,214.05838144420434
2022-07-31,213.15499761247975
2022-08-31,209.65640059558098
2022-09-30,199.14365834604243
2022-10-31,202.4539381207439
2022-11-30,208.9960631191734
2022-12-31,217.8777256356118
